	descripteur1	descripteur2	descripteur3	descripteur4	descripteur8	descripteur9	descripteur10	descripteur11	descripteur12	descripteur13	descripteur15	descripteur17	descripteur18	descripteur19	descripteur20	descripteur22	descripteur23	descripteur25	descripteur27	descripteur28	descripteur30	descripteur31	descripteur32	descripteur34	descripteur36	descripteur37	descripteur41	descripteur42	descripteur43	descripteur44	descripteur46	descripteur47	descripteur49	descripteur50	descripteur52	descripteur53	descripteur54	descripteur56	descripteur57	descripteur58	descripteur59	descripteur60	descripteur61	descripteur65	descripteur66	descripteur67	descripteur69	descripteur71	descripteur72	descripteur73
molecule256	1.234443	210.014794	-386.9868526	-3.95260566	0.2015662	-0.00407084	-0.00407084	691.2948324	1388.348	0	0.188101	42.872612	4.724219	2.777577	34	4.766589	7.92	4.125897	3.42131	2.960105	1.836592	0.612197	75.058647	221.70105	3.649167	154.7579901	157.4165178	45.17775319	28.97222225	41.24917113	0.76680672	0.77157738	6.74900047	5.59830349	0.62905946	167.483847	27.661474	-57.049024	735.165988	37.283122	1.902613	0.104606	-0.020012	9.858925	-20.333047	-2.542113	0.159911	0.069951	26.695369	329.718209
molecule263	-81.118602	63.665623	-189.8208038	-0.82776924	0.91282938	-0.01585843	-0.01585843	262.4209994	366.610161	1	-0.3723	8.5717	1.428967	1.920482	6	1.63	0	1.414214	0.493901	0.105409	1.584963	1	2	13.774438	0	40.07060311	76.48675524	16.65458841	11.27674804	13.06377222	0.65384615	0.72016461	5.07258548	3.4000001	1.32966989	40.96315733	87.859845	-94.941349	181.227989	26.866902	0.514497	0.160198	-0.271694	14.73502	-15.922663	-7.641876	0.600315	21.097421	138.827907	28.882614
molecule268	-197.439051	186.782263	-684.9153152	-3.41581704	2.66830967	-0.0474829	-0.0474829	659.9872539	1256.35	4	-2.4403	36.4585	2.554133	2.610889	58	3.295938	1.548036	5.574586	3.195848	2.309678	3.418296	0.897814	172.97374	374.052612	-0.671343	141.8209558	191.7302093	49.22247915	26.50590523	34.50849363	0.62179487	0.63714286	7.75237138	5.49871151	3.20420414	149.4912558	155.361922	-556.055854	1209.643	52.033573	1.933838	0.153957	-0.257299	52.508303	-187.932467	-29.390382	0.186946	3.765751	263.468902	74.50518
molecule270	-182.029588	163.604953	-496.3690042	-2.86732701	1.60235334	-0.02994995	-0.02994995	589.1629282	1061.957	2	0.0203	28.137999	3.827039	2.936182	34	4.169896	7.260001	4.125897	2.562569	1.64103	2.281036	0.68666	75.058647	221.70105	0.086574	118.5160991	204.405266	40.81147553	23.32139462	36.53730932	0.68865741	0.67465505	6.32216199	5.35655631	2.68217185	124.3551529	136.994409	-398.653731	916.392257	46.177548	1.644045	0.146634	-0.222775	43.141943	-125.543053	-22.093301	0.235017	4.280802	206.977445	107.940098
molecule279	-243.653531	228.712287	-880.0651193	-3.95249445	0.97834719	-0.01577877	-0.01577877	778.5088832	1471.503	0	1.582	42.342815	5.778577	3.468571	44	5.721364	4.53424	5.18198	5.178236	3.369561	2.162644	0.625144	110.039101	324.043518	0.991898	168.6046155	302.2396811	55.36235776	40.28739939	40.2462676	0.66326531	0.61478365	9.63125365	6.30665585	0.65334711	177.6566409	72.313922	-212.219666	1189.827	46.159172	2.411194	0.113848	-0.073468	29.31933	-86.043438	-12.077048	0.152792	0.491134	72.828642	332.616523
molecule280	-178.633854	218.325118	-804.7694499	-3.73507052	1.01002847	-0.01034698	-0.01034698	742.3664536	1405.377	0	1.6026	42.220715	7.647353	2.948488	36	7.417412	5.823983	4.846066	4.630513	2.698741	1.895462	0.597952	75.058647	272.402405	1.933642	161.708482	262.2947395	52.69851141	38.38708345	37.62023229	0.705	0.69071429	9.97759195	5.45720491	1.6677205	170.1532495	49.09223	-126.17685	1026.027	49.522167	2.25405	0.124049	-0.05244	19.598342	-50.37166	-8.357428	0.179169	0.998258	61.188144	338.02661
molecule289	-196.093675	212.177724	-798.119565	-4.09009983	2.51421485	-0.0497862	-0.0497862	766.3903941	1496.505	3	1.1418	46.333202	3.052426	3.262193	72	4.093086	2.317643	6.930428	3.771227	2.675821	2.689246	0.612261	226.477325	637.514526	0	167.6646959	289.6305895	61.48799708	28.2932592	35.12638434	0.67906977	0.69307692	8.41272903	4.95258208	3.15273855	174.9952906	231.976005	-804.492787	1323.669	43.265031	1.360252	0.113355	-0.269254	88.539793	-307.056001	-39.224138	0.183766	3.110989	291.85465	89.821863
molecule292	-92.858343	93.349181	-230.2953626	-1.47017373	0.00070134	-0.01702707	-0.01702707	351.4927884	548.0631372	2	-0.7084	14.5536	2.861601	1.825248	10	2.92	4.006956	1.914214	1.132456	0.447214	1	0.63093	8	30.490225	-0.25	62.21758646	97.73921628	20.42409255	16.18854714	21.2005633	0.76	0.72727273	4.86486222	4.3784837	0.000854681	65.10353489	72.523238	-101.003113	299.746757	33.52563	0.92337	0.155761	-0.209555	15.609708	-21.73964	-9.708058	0.489696	16.055536	116.12186	99.115469
molecule300	-129.083699	258.609727	-929.7619271	-4.5689766	3.27138503	-0.03472068	-0.03472068	907.3461405	1785.901	0	1.3379	50.135315	4.209293	2.671975	80	5.434966	3.868708	7.896755	4.484263	2.983904	3.175123	0.706863	254.083847	885.922546	0	197.0706499	912.6206661	60.36182862	37.20289018	55.88207534	0.6654979	0.71166253	9.17904819	6.09021105	8.40063624	207.2155713	218.945724	-851.633184	1769.943	38.644381	2.018142	0.084928	-0.160577	99.626238	-387.516178	-33.247365	0.152454	0.359367	213.873674	241.153426
molecule304	5.935909	124.125273	-666.3794286	-1.97205708	2.0920005	-0.01416389	-0.01416389	491.244355	873.4770426	0	1.1933	29.364304	1.220993	2.831586	30	1.888001	0.870529	3.431852	2.799198	2.112543	2.235926	0.659115	64	106.166328	0	93.56581905	130.3617205	36.00857179	16.99017532	23.36890674	0.73737374	0.75252525	6.40040868	3.5999999	3.35244202	95.9617479	120.403263	-122.426037	264.901935	20.048897	0.546909	0.07696	-0.15987	31.366415	-31.89337	-10.849783	0.463415	21.450137	108.810005	151.701329
molecule306	-13.736146	130.827447	-667.5647732	-2.16184873	0.7134328	-0.0126296	-0.0126296	506.2421198	907.8573855	1	0.7337	29.438999	1.439432	2.642771	30	2.094743	1.01098	3.431852	2.944602	2.269723	2.235926	0.688416	64	106.166328	0.178241	99.31168031	139.4341768	35.80415318	18.58413237	25.28938937	0.68181818	0.69214876	6.44038178	4.2321602	2.59396909	102.3439197	101.886944	-127.603208	340.830087	27.192268	0.783515	0.09992	-0.148238	27.727672	-34.726136	-10.97863	0.550703	16.285565	98.478433	173.663124
molecule310	-72.463173	211.766497	-667.0040121	-4.28152272	1.96754282	-0.02627699	-0.02627699	747.8662418	1497.857	1	0.548	49.508217	2.052856	2.342628	72	3.229918	1.237624	6.753219	4.315267	3.031134	3.093069	0.715669	226.477325	533.868835	-0.141056	166.8995772	167.0695612	56.50127759	28.76050939	37.85331056	0.67399267	0.62181122	7.75305916	5.50387168	3.64164635	174.6461879	160.9044	-395.63174	925.791574	36.989207	1.408046	0.098239	-0.150183	60.584	-148.963938	-21.291248	0.259558	6.952647	123.83729	252.684417
molecule313	-25.868894	178.792645	-421.7346858	-3.45454605	1.4220233	-0.01738754	-0.01738754	613.6007593	1173.579	2	-0.9763	37.012409	2.968836	1.962515	38	3.821107	2.301564	4.431852	3.434282	2.242688	2.113283	0.666667	86.43856	208.772263	5.636667	135.7863339	185.505564	42.91618218	25.83309317	35.64322524	0.6591133	0.68085106	6.90979894	5.67219201	2.60994535	144.5764658	41.192843	-77.500214	611.28942	37.614421	1.642721	0.115757	-0.062885	13.385291	-25.183087	-6.639888	0.320825	3.368172	87.384918	237.557236
molecule316	-92.744356	136.157958	-400.0337736	-2.59317944	1.73940203	-0.02417397	-0.02417397	503.1647403	902.8362535	1	-0.6785	26.882399	1.281595	2.334218	36	1.94179	1.309285	3.787694	2.615355	1.824906	2.25	0.677318	86.43856	140.748688	1.724352	102.6008999	115.89962	36.65862631	21.83348891	25.29741148	0.56856857	0.62962963	7.35736841	5.21936645	4.66173819	106.2719605	105.32495	-221.361447	583.277869	33.181624	1.304039	0.119558	-0.167595	29.231349	-61.435526	-12.909075	0.21554	10.253852	143.485588	134.049307
molecule321	-163.041403	165.262398	-855.2666779	-2.47152736	2.73744329	-0.03613312	-0.03613312	591.2830137	1124.592	3	-0.2188	31.002197	3.444304	3.389377	36	3.600318	4.135624	4.036581	2.680536	2.075245	2.725481	0.820451	86.43856	203.540421	-0.445988	120.5317367	118.5973602	37.82460038	28.08217166	33.25523393	0.69852217	0.6677116	6.98753661	5.75342427	4.77430595	127.4033988	185.067092	-496.646048	824.81982	33.299489	1.067717	0.10834	-0.268412	56.882273	-152.649269	-25.356957	0.243404	6.050524	264.546053	42.814227
molecule323	-95.791168	166.281596	-402.3953476	-2.9643261	1.16650672	-0.02258946	-0.02258946	581.105164	1059.958	3	-0.2417	30.058395	4.498732	2.710286	28	4.741745	6.807866	3.770056	2.689533	1.63952	2.75	0.916667	53.302967	172.665009	2.349815	119.7909248	168.0337418	40.88540195	22.00707612	34.24138825	0.65092166	0.66869301	6.14966931	5.49771041	4.3676755	126.1649391	87.652404	-232.384054	826.699558	46.545956	1.905952	0.149271	-0.151345	27.331851	-72.462204	-14.715579	0.260637	5.808654	176.062558	135.758338
molecule326	6.494193	158.21926	-513.1217897	-3.15122847	4.24311523	-0.03452854	-0.03452854	599.3775121	1121.65	1	1.7809	38.554108	1.135492	2.630578	58	2.000285	0.782078	5.287694	3.202295	2.286146	2.913977	0.712906	172.97374	285.850494	0	123.825626	108.4821844	47.89446564	21.1773834	22.17987423	0.75925926	0.7751938	8.20337774	3.40008279	6.92108184	125.0329457	165.593339	-288.198647	532.859819	28.550166	0.7991	0.093249	-0.17662	50.69986	-88.238037	-16.556489	0.3698	12.362268	148.069745	158.101146
molecule338	-46.137493	290.228426	-856.2832087	-5.70638892	0.06914442	-0.02807423	-0.02807423	1008.232	2066.744	0	2.142	66.906013	4.419572	2.899813	84	5.809289	2.500927	8.578116	5.352187	3.545564	2.584963	0.563791	268.078186	958.177063	0.143549	229.0269918	546.1929997	71.36861266	49.76987824	43.70896085	0.77784504	0.71177945	11.74471242	5.44792483	0.51544002	243.1289959	171.7641	-686.592636	1941.608	53.483703	2.583814	0.110112	-0.129685	83.429608	-333.49317	-30.595956	0.127311	3.246529	166.450523	319.271509
molecule349	-17.016395	169.954432	-762.2414138	-2.90992132	1.80362632	-0.01978916	-0.01978916	606.734394	1172.52	1	0.4415	37.583111	2.190124	2.560472	40	2.939143	1.496284	4.342535	3.721066	2.773873	2.947703	0.836569	98.107498	199.103317	0.971759	129.1931502	184.401131	42.64227361	28.16429419	30.84366134	0.67105263	0.62222222	7.58188217	5.5356071	3.32946424	135.0588244	103.742855	-207.381967	638.054685	34.637805	1.349372	0.108526	-0.138339	33.111128	-66.189145	-14.092123	0.334817	8.32286	145.091338	174.074045
molecule353	-51.391089	105.312501	-322.5608499	-1.79892321	1.47484631	-0.02056491	-0.02056491	409.5648675	671.8048221	1	0.6976	19.2521	0.855644	2.243231	26	1.362168	0.768631	2.893847	1.756241	1.012757	2.584963	0.920782	53.302967	66.285004	1.136574	75.8632126	51.65313118	26.37866822	16.61273572	19.7709791	0.74074074	0.67532468	5.3070988	4.22588575	3.6191652	77.85767762	91.568595	-150.786005	392.190949	33.319128	1.01363	0.139903	-0.176106	21.807877	-35.911032	-9.988681	0.398494	13.492282	122.489981	115.668937
molecule357	-42.264511	126.364814	-630.6491293	-2.09302442	0.07175187	-0.009829	-0.009829	466.6008724	849.0299158	0	0.1129	28.2614	1.84501	1.851853	24	2.477367	1.544272	3	3.309401	2.44949	0	0	43.01955	69.058647	4.314815	95.82162934	69.62483319	31.80772584	25.99575669	23.46077364	0.68571429	0.65546218	6.99222111	5.42180774	1.16897113	98.33875833	74.295482	-88.396765	305.29971	24.5613	0.845304	0.095719	-0.124383	19.064035	-22.682389	-8.189654	0.463355	10.028639	68.740379	187.857124
molecule366	41.641309	153.750874	-342.9441465	-2.72769476	3.57559503	-0.02718829	-0.02718829	560.9750619	1055.388	0	1.0916	30.697601	5.21755	2.730636	26	5.98	6.231256	3.914214	2.65432	1.523335	2	0.57813	43.01955	180.948425	2.900278	114.5035515	118.1863787	35.99839076	27.40631938	29.56236303	0.69753695	0.67374005	6.9727154	5.63483962	4.40526905	120.6369702	107.39591	-169.008944	464.627634	28.372002	1.001305	0.0961	-0.095782	31.706863	-49.89709	-8.348667	0.180721	0.174595	136.379055	158.854376
molecule369	104.253704	174.121111	-888.2351201	-1.93898338	1.88782189	-0.04471307	-0.04471307	616.6241425	1183.38	2	-0.7335	14.9827	2.113125	2.330553	10	2.45	4.672223	1.914214	0.985409	0.362238	2	0.861353	8	30.490225	0.125	127.9124613	98.99408485	41.02476114	26.00481924	35.51933109	0.63142857	0.63402778	6.93007604	5.94280678	5.11080923	134.9138788	85.952165	-67.223189	213.363605	29.094608	0.677827	0.134946	-0.0766	18.531392	-14.493402	-3.560687	0.713464	13.888228	95.257396	120.343826
molecule374	-76.384468	203.600223	-535.1465212	-3.94660758	1.49887135	-0.01807245	-0.01807245	714.5065048	1349.501	1	-0.132	41.386314	3.321773	2.114103	48	4.305732	2.476469	5.342535	3.967199	2.435968	2.845351	0.793691	122.211433	333.182709	3.734184	155.8525055	281.1580132	53.48015648	27.19040388	41.3561325	0.66762452	0.62366231	7.09089208	5.74357774	2.19798275	162.7857852	61.724583	-168.113076	1023.997	49.142211	2.276597	0.130715	-0.07444	23.205291	-63.20193	-10.521135	0.213761	1.05357	86.288126	289.660798
molecule380	-85.624183	168.083012	-641.5844198	-3.04620739	4.28873095	-0.04328615	-0.04328615	627.4230547	1180.716	2	-0.3822	34.516998	2.221123	3.078679	56	3.159226	1.69797	5.625897	2.902407	1.86386	2.584963	0.632412	160	360.804626	0	130.884666	120.7993855	47.24582915	27.27747241	27.16176093	0.64221825	0.62701252	8.41699232	5.0462011	8.06843078	134.7396001	169.241113	-443.784048	842.06487	31.205693	1.240206	0.097171	-0.236203	54.350217	-142.517138	-24.359981	0.23282	7.633397	221.116721	100.02402
molecule383	51.03491	102.722533	-264.3333295	-1.79075893	0.00012515	-0.01230482	-0.01230482	404.9832589	681.9504289	0	-0.5772	21.744202	0.819105	2.866227	24	1.499803	0.764605	3	1.699462	0.894427	0	0	43.01955	69.058647	0	74.9002721	30.16319497	29.13418155	14.8370582	16.36336728	0.74814815	0.7254902	5.83284478	3.40000672	3.77042E-16	75.64782299	49.64903	-32.24208	145.916488	15.078124	0.505786	0.067089	-0.071729	11.158532	-7.246351	-3.623175	0.5	12.029501	49.64903	175.099212
molecule384	-34.733887	157.847046	-492.2765343	-2.89920222	1.47818588	-0.02269256	-0.02269256	596.4718781	1079.982	1	-0.3091	32.722099	1.727731	2.856336	46	2.531545	1.591439	4.698377	2.718693	1.848172	2.321928	0.609853	122.211433	257.879517	0	119.5860464	186.0820846	45.53893427	18.22760956	29.76000062	0.63903743	0.68356643	6.77855655	4.2079076	4.72056843	123.0584259	109.752135	-234.562264	663.1665	37.231305	1.381313	0.11999	-0.166493	34.054716	-72.781738	-16.029653	0.30423	8.279652	156.802496	153.485004
molecule388	-36.583961	139.998187	-436.9156736	-2.62856614	1.76396945	-0.0263407	-0.0263407	535.098094	965.0095869	1	0.4331	30.6595	1.554694	2.87326	40	2.368142	1.333055	4.304531	2.438146	1.541041	2.419382	0.653809	98.107498	195.554443	0	107.1784367	124.3027224	41.18113885	18.51686399	23.33213831	0.74458204	0.77535302	6.70268041	3.71027727	4.61171154	109.9415514	125.046055	-199.636027	451.573577	26.155297	0.890642	0.092463	-0.175218	35.372027	-56.471441	-14.020304	0.401879	13.00406	129.832848	153.039148
molecule392	-104.606661	259.821965	-1162.463	-4.93797405	4.00985771	-0.04317001	-0.04317001	917.166795	1869.536	2	2.3045	62.978416	2.97388	2.368332	88	4.28969	2.360391	7.998038	6.314692	5.440922	2.20511	0.469128	296.422852	899.401306	0	206.932429	323.775016	46.68427323	36.72398513	65.69975822	0.73219814	0.75791855	7.45957628	6.72367976	5.08242956	215.5221838	216.59628	-619.378722	1257.791	45.587312	1.451462	0.103645	-0.158279	95.267846	-272.427932	-30.620546	0.235837	7.277485	204.570486	235.270151
molecule398	-70.852099	108.209531	-338.6894542	-1.67424336	0.00018954	-0.02428851	-0.02428851	415.2710958	678.8064437	4	-1.9706	18.082998	1.14898	3.30517	22	1.395523	1.94	2.642735	1.235599	0.728502	1.584963	0.564575	43.01955	70.36869	0	74.79115939	38.79218364	31.22950843	15.01420045	19.39518066	0.71684588	0.72777778	6.16022992	3.40000453	5.33218E-16	77.20126962	107.922533	-227.02584	495.747041	39.208098	1.140263	0.166371	-0.226235	25.433674	-53.502276	-12.56474	0.281232	3.875167	235.666021	0
