	descripteur1	descripteur2	descripteur3	descripteur4	descripteur8	descripteur9	descripteur10	descripteur11	descripteur12	descripteur13	descripteur15	descripteur17	descripteur18	descripteur19	descripteur20	descripteur22	descripteur23	descripteur25	descripteur27	descripteur28	descripteur30	descripteur31	descripteur32	descripteur34	descripteur36	descripteur37	descripteur41	descripteur42	descripteur43	descripteur44	descripteur46	descripteur47	descripteur49	descripteur50	descripteur52	descripteur53	descripteur54	descripteur56	descripteur57	descripteur58	descripteur59	descripteur60	descripteur61	descripteur65	descripteur66	descripteur67	descripteur69	descripteur71	descripteur72	descripteur73
molecule191	-132.951945	281.264586	-1026.586	-4.94287749	0.3943191	-0.00741463	-0.00741463	898.6274491	1963.962	0	0.597401	47.650219	3.454617	4.149626	56	3.564523	8.63	5.100954	11.210924	14.010192	1.947339	0.543196	172.97374	391.640228	0	222.050355	430.8676523	58.63204446	40.53304077	57.45603587	0.66537967	0.68872321	8.38892706	7.26161539	1.12541898	237.4691235	57.761337	-211.724181	1669.894	39.086738	3.200679	0.085795	-0.052729	26.31499	-96.457597	-10.944222	0.15534	1.431394	61.758457	393.822934
molecule194	-35.936823	184.65306	-515.5001554	-3.5391669	2.08454052	-0.03455562	-0.03455562	665.3461398	1269.569	3	1.5646	41.11681	2.355429	2.67607	50	3.274762	2.489843	5.181541	3.225688	2.289918	2.550341	0.65278	134.605942	337.778442	0.2225	140.6432026	249.6675045	49.45927549	25.62791707	34.3196248	0.64433498	0.58355438	6.97591397	5.70164913	3.8648615	147.2217884	138.521347	-317.407815	767.435929	37.682726	1.343688	0.112513	-0.166692	46.393584	-106.306259	-18.698071	0.300602	8.760678	176.629458	158.290647
molecule195	-96.181226	128.914547	-307.7299317	-2.22607539	1.01305742	-0.01168835	-0.01168835	474.5929224	806.4920824	0	0.2063	22.160797	2.670481	2.605273	20	2.845983	5.010229	2.770056	1.90403	0.924594	2.584963	1	33.21928	80.659187	0.481482	91.11128941	82.35174873	31.68644034	19.47043876	28.75358529	0.6521164	0.62121212	5.57913776	5.35159857	1.82337302	95.03837126	62.71092	-107.67465	455.587224	28.632066	1.3112	0.107907	-0.110899	16.639659	-28.570294	-7.807846	0.327781	4.214457	66.816866	198.522228
molecule199	47.055664	83.622933	-170.8524668	-1.24184779	2.05775478	-0.01255021	-0.01255021	349.4271673	538.1773961	0	1.0465	16.3458	1.800725	2.858064	10	2.23	6.577826	1.914214	0.92053	0.333224	2	0.773706	8	30.490225	0	56.96613243	142.6733369	22.90581893	12.57836599	18.57662728	0.68253968	0.75375375	5.42018102	3.40002829	2.45823445	57.8609513	97.420325	-65.632073	136.465265	17.56444	0.349688	0.086712	-0.11989	19.733547	-13.29449	-4.919211	0.412943	10.971033	108.772057	93.788824
molecule200	-116.266297	99.869278	-342.4815506	-1.7318015	2.92920251	-0.02181856	-0.02181856	394.7366887	643.9373873	0	0.3113	17.0674	0.855644	2.121466	26	1.362168	0.768631	2.893847	1.689723	0.946923	1.918296	0.683311	53.302967	66.285004	0.831018	72.34973043	46.66095503	24.55262377	16.649265	19.18858902	0.74074074	0.68716578	5.32419515	4.2215785	5.36202648	73.32594851	113.086109	-173.361006	351.445235	26.247372	0.776853	0.114498	-0.21222	25.923645	-39.740947	-11.152172	0.351207	8.353961	114.052214	115.185884
molecule208	-289.051093	329.061459	-1102.199	-6.01019403	7.45524207	-0.09004185	-0.09004185	1042.784	2280.172	4	-1.6968	62.345608	8.630489	4.188767	86	9.360617	11.042272	9.201286	5.522503	3.996264	2.521928	0.557509	268.078186	1311.671	-2.250545	251.1572251	524.4747265	72.13881011	51.78434852	52.3389671	0.68368421	0.65739821	9.96635657	7.59987669	10.31194134	272.1114519	262.008525	-1423.938	2794.682	62.148295	2.665701	0.12086	-0.250938	134.728824	-732.210738	-66.352381	0.128232	2.308239	384.098641	130.116778
molecule211	-154.136148	207.93375	-592.162128	-3.7380719	3.23782596	-0.04361772	-0.04361772	697.1496184	1372.733	3	-1.1875	38.65731	5.957229	3.355445	42	6.234968	5.93061	5.201908	3.362423	2.1171	2.913977	0.842328	98.107498	332.817322	0.251389	154.6211484	290.0662778	45.55494217	32.62405064	40.60335758	0.70512821	0.694	7.77527307	5.95050939	5.46828937	164.9078445	125.914529	-372.732188	1060.667	49.176929	1.919989	0.13725	-0.194905	45.115358	-133.550482	-25.021921	0.228262	6.896973	220.619192	137.682254
molecule214	-287.269906	285.623784	-1256.587	-4.96169842	4.30608673	-0.05858683	-0.05858683	915.0181053	1946.645	6	-3.123001	53.876312	6.329707	3.869355	72	6.44655	6.149605	7.282934	6.10134	5.035138	3.280639	0.80261	226.477325	793.973267	-2.921011	218.692704	462.8791242	64.585361	34.45062025	53.560896	0.6719697	0.69953775	7.84341499	6.5364533	9.04559615	237.3493823	188.238351	-803.401282	1906.414	62.234192	2.469379	0.139327	-0.182053	84.081586	-358.860207	-36.323172	0.171837	2.172577	249.451447	197.224722
molecule217	-51.438361	183.961296	-515.5177608	-3.55677222	1.46007827	-0.02362341	-0.02362341	666.4412431	1261.543	2	1.1623	42.336411	2.629052	2.375432	48	3.729813	2.818431	5.287694	3.295521	2.113317	2.663533	0.681753	122.211433	344.54599	-0.037685	141.1708358	251.0119429	47.51457652	27.77466958	35.33902802	0.59213759	0.58143939	7.3182322	6.40943995	4.38366574	145.5815835	133.66937	-295.623178	762.900341	36.674014	1.354607	0.106316	-0.130188	46.109788	-101.976408	-15.491536	0.302179	7.511548	122.754697	222.199336
molecule219	-123.92228	243.942856	-743.4527826	-4.65703254	2.15328862	-0.03358195	-0.03358195	875.9403279	1675.034	2	1.1575	51.683418	4.462879	2.140131	66	5.895325	4.896387	7.181541	4.345998	2.809023	2.789898	0.645522	186.117294	741.75531	-0.30564	187.1233776	713.1642547	63.28240494	27.49107902	51.13171674	0.62634409	0.62879153	7.19150534	6.10321962	7.97946755	195.3077469	177.224329	-562.563187	1381.395	46.151122	1.881589	0.10605	-0.142374	77.124679	-244.816869	-26.963093	0.199414	5.939872	166.714546	268.466559
